Fecha,Hora,Producto,ISIN,Bolsa,Número,,Precio,,Valor local,,Valor,Tipo de cambio,,Comisión,,Total,ID Orden
14-05-2020,09:01,PHARMA MAR SA,ES0169501030,MAD,-500,EUR,5.3500,EUR,2675.00,EUR,2675.00,,EUR,-3.34,EUR,2671.66,27b4280e-a2b4-4772-bf1c-3d7b4043f932
13-05-2020,15:26,MERLIN PROPERTIES SOCIMI SA,ES0105025003,MAD,-217,EUR,7.0900,EUR,1538.53,EUR,1538.53,,EUR,-0.77,EUR,1537.76,3c18fa4b-425a-4cb5-88a3-1b7a1a88aca1
13-05-2020,15:26,MERLIN PROPERTIES SOCIMI SA,ES0105025003,MAD,-83,EUR,7.0900,EUR,588.47,EUR,588.47,,EUR,-2.29,EUR,586.18,3c18fa4b-425a-4cb5-88a3-1b7a1a88aca1
06-05-2020,09:17,PHARMA MAR SA,ES0169501030,MAD,500,EUR,5.6100,EUR,-2805.00,EUR,-2805.00,,EUR,-3.40,EUR,-2808.40,5a5e38f2-6d66-4810-93bc-ed49ed8018b8
04-05-2020,10:50,MERLIN PROPERTIES SOCIMI SA,ES0105025003,MAD,300,EUR,7.9100,EUR,-2373.00,EUR,-2373.00,,EUR,-3.19,EUR,-2376.19,869e6791-1dfe-4e43-b498-b0260e03d81b
30-04-2020,11:04,MERLIN PROPERTIES SOCIMI SA,ES0105025003,MAD,-400,EUR,8.4500,EUR,3380.00,EUR,3380.00,,EUR,-3.69,EUR,3376.31,5db34351-57c1-416d-b881-73e2fc7fc53b
22-04-2020,17:09,AUDAX RENOVABLES SA,ES0136463017,MAD,-1000,EUR,2.0250,EUR,2025.00,EUR,2025.00,,EUR,-3.01,EUR,2021.99,7bbd28f3-1ac2-4ad6-8652-46c21f4d8aaf
21-04-2020,09:29,FACEPHI BIOMETRIA SA,ES0105029005,MAD,-384,EUR,4.6200,EUR,1774.08,EUR,1774.08,,EUR,-0.89,EUR,1773.19,c8269405-5047-439a-8fdb-c48ae88ff64b
21-04-2020,09:29,FACEPHI BIOMETRIA SA,ES0105029005,MAD,-116,EUR,4.6300,EUR,537.08,EUR,537.08,,EUR,-2.27,EUR,534.81,c8269405-5047-439a-8fdb-c48ae88ff64b
20-04-2020,11:54,AUDAX RENOVABLES SA,ES0136463017,MAD,-1000,EUR,1.8660,EUR,1866.00,EUR,1866.00,,EUR,-2.93,EUR,1863.07,7fd60602-1d9d-4f7b-8b3a-081abe377a2c
15-04-2020,10:54,MERLIN PROPERTIES SOCIMI SA,ES0105025003,MAD,400,EUR,7.6700,EUR,-3068.00,EUR,-3068.00,,EUR,-3.53,EUR,-3071.53,86be29de-f0bf-4489-8142-2baa4196878e
15-04-2020,10:53,FACEPHI BIOMETRIA SA,ES0105029005,MAD,-500,EUR,5.4800,EUR,2740.00,EUR,2740.00,,EUR,-3.37,EUR,2736.63,38d80e1b-a012-4370-9ec4-9328ac48ec76
14-04-2020,10:04,TEC.REUNIDAS,ES0178165017,MAD,300,EUR,14.3000,EUR,-4290.00,EUR,-4290.00,,EUR,-4.15,EUR,-4294.15,22e81356-4980-4fd4-b291-4859c029b4cb
09-04-2020,15:43,MERLIN PROPERTIES SOCIMI SA,ES0105025003,MAD,-400,EUR,8.2900,EUR,3316.00,EUR,3316.00,,EUR,-3.66,EUR,3312.34,d04becaa-9ecd-4768-9b29-6d22e54ccdfe
08-04-2020,10:06,AUDAX RENOVABLES SA,ES0136463017,MAD,-1000,EUR,1.7600,EUR,1760.00,EUR,1760.00,,EUR,-2.88,EUR,1757.12,c51880d6-5576-4be5-9d84-c6244cc1595f
08-04-2020,09:00,MERLIN PROPERTIES SOCIMI SA,ES0105025003,MAD,3,EUR,8.0700,EUR,-24.21,EUR,-24.21,,EUR,-0.01,EUR,-24.22,9a1c3636-6e1f-414e-a7fd-32553074a30e
08-04-2020,09:00,MERLIN PROPERTIES SOCIMI SA,ES0105025003,MAD,153,EUR,8.0700,EUR,-1234.71,EUR,-1234.71,,EUR,-0.62,EUR,-1235.33,9a1c3636-6e1f-414e-a7fd-32553074a30e
